ID,Cohort,Age,Acert,Year,Capture,Exclude,Treatment,Mass,Leg,Teeth,Repro,Parturition,PYsex,PYid,SurvLPY,SurvWN,PYLastObs,PYFound,Dead,HRDead,CaptDay,AgeC,CohortStart,CohortDay,Cond,PCond,PMass,mGain,Eff,PEff,DaysObs,xMed,indVeg7,indDens7,indWin7,indVeg21,indDens21,indWin21,mLeg,mMass,mMGain,mCond,nFem,nka,nSA,nPrime,PropPrime,Ratio,PRatio
1070,NA,NA,0,2018,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-08-01,NA,NA,NA,NA,NA,0,NA,50,38024,NA,NA,NA,NA,NA,NA,531.8,26.651234567901234,0.3769230769230769,-0.2334322330272324,108,67,24,41,0.6119402985074627,0.2222222222222222,0.17557251908396945
1070,NA,NA,0,2019,NA,0,0,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2018-08-01,NA,NA,NA,NA,NA,2,0,46,37964,NA,NA,NA,NA,NA,NA,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
1070,NA,NA,0,2020,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-01,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1070,NA,NA,0,2021,NA,0,NA,NA,NA,NA,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2020-08-01,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
1071,2017,3,1,2020,2020-11-24,0,0,23.75,517,NA,1,2020-04-25,1,1249,1,1,NA,NA,NA,NA,329,3,2019-08-01,269,-0.8504360751701878,-0.21930494454029364,25.75,-2,3,NA,NA,NA,152.79885368628382,2.5507258426966293,46,388.01584110689396,2.657922921914358,75,529.2368421052631,26.63157894736842,0.7916666666666666,-0.1076177945333582,108,73,33,39,0.5342465753424658,0.3055555555555556,0.3391304347826087
1071,2017,4,1,2021,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2020-08-01,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,527.4727272727273,26.436363636363637,0.6214285714285714,-0.11304735936777774,104,75,28,39,0.52,0.2692307692307692,0.3055555555555556
1071,2017,5,1,2022,2022-09-18,0,0,24.5,512,3,1,2022-01-18,2,1354,1,1,NA,NA,NA,NA,261,3,2021-08-01,171,-0.23600721496455213,-0.8504360751701878,23.75,0.75,3,0,NA,NA,149.11198652023418,2.498068852459016,36,270.0822558290297,2.3277049494949495,78,527.6341463414634,26.993827160493826,1.249074074074074,0.11155473367358151,98,75,51,41,0.5466666666666666,0.5204081632653061,0.2692307692307692
1071,2017,6,1,2023,2023-10-02,0,0,25.75,524,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,3,2022-08-01,NA,-0.21930494454029364,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,523.2471910112359,26.03370786516854,0.9941860465116279,-0.11745200079661877,109,86,30,51,0.5930232558139535,0.27522935779816515,0.5204081632653061
1071,2017,7,1,2024,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,4,2023-08-01,NA,NA,-0.23600721496455213,24.5,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,515.5121951219512,25.682926829268293,1.4038461538461537,0.10466102027792984,107,91,0,64,0.7032967032967034,0,0.27522935779816515
1072,2016,3,1,2019,2019-10-09,0,0,23.5,514,6,1,2019-02-07,2,1211,1,1,NA,NA,NA,NA,282,3,2018-08-01,191,-0.8317356844964406,-0.8320851505905993,25.25,-1.75,3,NA,57,37762.5,182.4957919400736,1.9311434426229508,47,295.9755604772229,2.333049346405229,71,526.8585858585859,26.0855,0.2431818181818182,-0.25464313554660745,115,76,39,25,0.32894736842105265,0.3391304347826087,0.2222222222222222
